subregion,code
Abbotsford Rural,2134
Agassiz_Harrison,2150
Aldergrove_Otter,2315
Brookswood_Murrayville,2314
Burnaby Northeast,2222
Burnaby Northwest,2221
Burnaby Southeast,2224
Burnaby Southwest,2223
Central Abbotsford,2131
City of Langley,2311
Cloverdale,2333
East Abbotsford,2132
East Newton,2335
Fleetwood,2336
Guildford,2337
Haney,2231
Hope,2110
Ladner,2322
Maple Ridge Rural,2233
New Westminster,2210
North Chilliwack,2122
North Coquitlam,2241
North Delta,2321
North Langley Township,2316
North Mission,2142
North Surrey,2332
Panorama,2334
Pitt Meadows,2232
Port Coquitlam,2244
Port Moody_Anmore_Belcarra,2245
South Chilliwack,2121
South Langley Township,2317
South Mission,2141
South Surrey,2341
Southeast Coquitlam,2243
Southwest Coquitlam,2242
Tsawwassen,2323
Walnut Grove_Fort Langley,2312
West Abbotsford,2133
West Newton,2338
Whalley,2331
White Rock,2342
Willoughby,2313
100 Mile House,1440
Armstrong_Spallumcheen,1350
Arrow Lakes,1240
Castlegar,1230
Central Okanagan Rural,1371
Cranbrook,1120
Creston,1150
Downtown Kelowna,1375
Enderby,1390
Fernie,1110
Glenmore,1374
Golden,1160
Grand Forks,1260
Kamloops Centre North,1431
Kamloops Centre South,1432
Keremeos,1330
Kettle Valley,1270
Kimberley,1130
Kootenay Lake,1210
Lake Country,1373
Lower Thompson,1433
Merritt,1490
Nelson,1220
North Okanagan_Lumby,1362
North Thompson,1450
Okanagan Mission,1377
Penticton,1320
Princeton,1340
Revelstoke,1410
Rutland,1376
Salmon Arm,1420
Southern Okanagan,1310
Summerland,1380
Trail,1250
Vernon Centre_Coldstream,1361
West Kelowna,1372
Williams Lake_East Cariboo,1462
Windermere,1140
Alberni Valley_Bamfield,4262
Campbell River,4321
Campbell River Rural,4322
Cedar_Wellington,4246
Central Cowichan,4212
Central Saanich,4132
Chemainus,4233
Colwood,4121
Comox,4311
Comox Valley Rural,4312
Courtenay,4313
Cowichan Valley West,4220
Departure Bay,4242
Downtown Nanaimo,4241
Downtown Victoria_Vic West,4111
Esquimalt,4119
Gabriola Island,4247
Gordon Head_Shelbourne,4115
Interurban_Tillicum,4117
James Bay_Fairfield,4112
Juan de Fuca Coast,4125
Ladysmith,4231
Langford_Highlands,4123
Metchosin,4122
Nanaimo North_Lantzville,4243
Nanaimo South,4244
Nanaimo West_Rural,4245
North Saanich,4133
Oak Bay,4114
Oaklands_Fernwood,4113
Oceanside Rural,4253
Parksville,4251
Pender_Galiano_Saturna_Mayne,4142
Port Alberni,4261
Port McNeill_Sointula,4342
Quadra_Swan Lake,4116
Qualicum Beach,4252
Royal Oak_Cordova Bay_Prospect,4131
Salt Spring Island,4141
Sidney,4134
Sooke,4124
South Cowichan,4211
View Royal,4118
Burns Lake North,5223
Burns Lake South,5222
Chetwynd,5312
Dawson Creek,5311
Fort Nelson Population Centre,5331
Fort St John,5321
Fraser Lake,5234
Houston,5143
Hudson's Hope,5322
Kitimat,5150
Mackenzie,5247
McBride_Valemount,5246
Peace River North Rural,5323
Peace River South Rural,5314
Prince George City - Central,5242
Prince George City - North,5241
Prince George City - Southwest,5243
Prince George North Fraser Rural,5245
Prince George Southwest Rural,5244
Quesnel City Centre,5211
Quesnel Rural,5212
Smithers Rural,5142
Smithers Town Centre,5141
Snow Country,5110
Terrace City Centre,5171
Terrace Rural,5172
Tumbler Ridge,5313
Vanderhoof,5231
Vanderhoof Rural,5232
Blundell,3112
Bowen Island_Lions Bay,3323
Broadmoor,3113
Cedar Cottage,3231
Downtown Eastside,3221
Downtown Vancouver,3211
East and West Cambie_Bridgeport,3116
Fairview,3213
Gibsons,3331
Gilmore_Shellmont_East_Hamilton,3117
Grandview-Woodland,3223
Hastings-Sunrise,3232
Kensington,3251
Killarney,3261
Kitsilano,3244
Mount Pleasant,3252
North Vancouver City - East,3311
North Vancouver City - West,3312
North Vancouver DM - Central,3313
North Vancouver DM - East,3314
North Vancouver DM - West,3315
Northeast False Creek,3222
Oakridge_Marpole,3262
Powell River City,3341
qathet Rural,3342
Renfrew-Collingwood,3233
Richmond City Centre,3111
Sechelt,3332
Shaughnessy_Arbutus Ridge_Kerrisdale,3241
South Cambie_Riley Park,3253
Squamish,3351
Steveston,3115
Sunset,3263
Sunshine Coast Rural,3333
Thompson_Seafair,3114
University of British Columbia,3243
Victoria-Fraserview,3264
West End,3212
West Point Grey_Dunbar-Southlands,3242
West Vancouver - Lower,3321
West Vancouver - Upper,3322
Whistler,3352
